商品编码,品名,划线价,销售价,税费,利润,高级会员,蓝钻会员,红钻
zrhz1000001,法国Avene雅漾舒护活泉水喷雾 300ML,,116.76,11.76,34.58,0.35,0.69,1.04
zrhz1000003,日本花王珂润Curel润浸保湿乳液 120ml,,154.57,15.57,12.23,0.12,0.24,0.37
zrhz1000006,日本DHC蝶翠诗榄护唇膏润唇膏滋润补水保湿 1.5g,,72.28,7.28,21.15,0.21,0.42,0.63
zrhz1000007,美国Estee Lauder雅诗兰黛 红石榴能量水清爽型 200ml,,331.38,33.38,37.78,0.38,0.76,1.13
zrhz1000010,法国Fresh馥蕾诗大豆洁面啫喱洗面奶 150ML,,286.9,28.9,41.65,0.42,0.83,1.25
zrhz1000014,美国kiehl's科颜氏牛油果眼霜 14g,,233.52,23.52,26.9,0.27,0.54,0.81
zrhz1000017,加拿大MAC魅可子弹头口红 Lady Danger 3g,,177.92,17.92,21.62,0.22,0.43,0.65
zrhz1000018,加拿大MAC魅可子弹头口红 Ruby Woo复古正红 3g,,177.92,17.92,32.84,0.33,0.66,0.99
zrhz1000020,日本Pure Smile江户歌舞伎艺妓艺术面膜 4片装,,97.86,9.86,42.98,0.43,0.86,1.29
zrhz1000023,意大利Armani阿玛尼哑光唇釉 #504,,342.5,34.5,141.48,1.41,2.83,4.24
zrhz1000024,意大利Armani阿玛尼红管哑光唇釉  #402,,342.5,34.5,100.68,1.01,2.01,3.02
zrhz1000025,意大利Armani阿玛尼哑光唇釉 #500,,342.5,34.5,60.9,0.61,1.22,1.83
zrhz1000026,澳洲Lucas卢卡斯木瓜膏 25g,,42.26,4.26,13.45,0.13,0.27,0.4
zrhz1000027,澳洲Blackmores澳佳宝天然维E面霜50g,,86.74,8.74,41.3,0.41,0.83,1.24
zrhz1000029,法国Eau precieuse珍贵水375ml,,97.86,9.86,41.95,0.42,0.84,1.26
zrhz1000031,法国bioderma贝德玛粉水 500ml,,150.12,15.12,57.18,0.57,1.14,1.72
zrhz1000032,法国Dior迪奥粉漾魅惑变色润唇膏 01#浅粉色 3.5g,,272.44,27.44,81.69,0.82,1.63,2.45
zrhz1000033,法国GIVENCHY纪梵希 四宫格蜜粉 #7 12g,,420.34,42.34,79.29,0.79,1.59,2.38
zrhz1000034,法国 LANCOME兰蔻清滢柔肤水粉水 400ml,,410.33,41.33,89.98,0.9,1.8,2.7
zrhz1000035,法国Caudalie欧缇丽葡萄活性喷雾 200ml,,132.33,13.33,37.58,0.38,0.75,1.13
zrhz1000036,韩国AHC B5玻尿酸精华液30ml,,197.94,19.94,67.56,0.68,1.35,2.03
zrhz1000038,韩国AHC高效玻尿酸B5洗面奶180ML,,97.86,9.86,29.64,0.3,0.59,0.89
zrhz1000039,韩国SNP海洋燕窝面膜10片/盒,,90.07,9.07,20.33,0.2,0.41,0.61
zrhz1000040,韩国VDL贝壳提亮液30ml,,108.98,10.98,28.19,0.28,0.56,0.85
zrhz1000041,韩国papa recipe春雨卢卡黑面膜 蜂蜜黑炭面膜补水提亮肤色 10片/盒,,131.22,13.22,39.89,0.4,0.8,1.2
zrhz1000042,韩国papa recipe春雨蜂蜜保湿补水面膜贴黄色 10片/盒,,108.98,10.98,33.58,0.34,0.67,1.01
zrhz1000044,韩国the saem得鲜口红 #M06,,65.61,6.61,8.56,0.09,0.17,0.26
zrhz1000046,韩国Mediheal美迪惠尔可莱丝水库针剂睡眠面膜  10片/盒,,86.74,8.74,22.75,0.23,0.46,0.68
zrhz1000048,韩国水光JAYJUN樱花BABY新生焕白面膜10片/盒,,142.34,14.34,54.43,0.54,1.09,1.63
zrhz1000049,韩国水光JAYJUN面膜10片/盒,,110.09,11.09,21.11,0.21,0.42,0.63
zrhz1000233,资生堂 UNO吾诺男士泡沫洗面奶/洁面乳 白色130g,,38.92,3.92,10.79,0.11,0.22,0.32
zrhz1000234,西班牙Byphasse蓓昂斯四效合一卸妆水 500ml,,76.73,7.73,25.36,0.25,0.51,0.76
zrbj000062,澳洲STREAMLAND新溪岛 蔓越莓蜂蜜500g ,,120.1,12.1,30.82,0.31,0.62,0.92
HH00000001,日本Okamoto冈本001避孕套超薄安全套0.01mm 3只装,,64.5,6.5,18.7,0.19,0.37,0.56
HH00000002,法国香奈儿Chanel女士香水粉色邂逅淡香水50ml,,683.88,68.88,59.27,0.59,1.19,1.78
HH00000003,澳洲NU-Lax乐康膏500g/盒,,97.86,9.86,24.03,0.24,0.48,0.72
HH00000006,日本Spa Treatment 暗黑瘦身水 100mL,,442.58,44.58,115.75,1.16,2.32,3.47
HH00000008,日本象印ZOJIRUSHI不锈钢真空保温杯SM-SC48蓝色480ml,,239.08,24.08,55.45,0.55,1.11,1.66
HH00000010,日本膳魔师THERMOS真空超轻保温杯JNL-502-ALB黑色500ml,,242.42,24.42,59.05,0.59,1.18,1.77
HH00000011,日本膳魔师THERMOS真空超轻保温杯JNL-502-SKY蓝色500ml,,242.42,24.42,49.4,0.49,0.99,1.48
HH00000012,日本膳魔师THERMOS真空超轻保温杯JNL-502-PRW象牙白500ml,,242.42,24.42,53.51,0.54,1.07,1.61
HH00000015,韩国Nature Republic自然乐园芦荟胶补水面霜 300ml/罐,,40.03,4.03,13.33,0.13,0.27,0.4
HH00000023,法国YSL圣罗兰方管口红 #19,,309.14,31.14,83.63,0.84,1.67,2.51
HH00000024,法国YSL圣罗兰镜光唇釉 #7,,309.14,31.14,83.63,0.84,1.67,2.51
HH00000025,法国Dior迪奥魅惑唇膏 #004（珊瑚色）,,231.3,23.3,40.51,0.41,0.81,1.22
HH00000026,法国Dior迪奥烈艳蓝金唇膏 #520,,286.9,28.9,56.95,0.57,1.14,1.71
HH00000027,法国Dior迪奥烈艳蓝金唇膏 #888 哑光,,286.9,28.9,42.08,0.42,0.84,1.26
HH00000030,意大利Armani阿玛尼黑管唇釉 #402,,298.02,30.02,67.74,0.68,1.35,2.03
HH00000034,泰国Mistine小草莓变色口红1.7g,,31.14,3.14,8.79,0.09,0.18,0.26
HH00000035,日本奇士美kiss me睫毛膏纤长型,,97.86,9.86,28.62,0.29,0.57,0.86
HH00000037,韩国Whoo后 拱辰享洗面奶 180ml,,253.54,25.54,67.54,0.68,1.35,2.03
HH00000038,美国帕玛氏Palmers胸部按摩膏125g,,76.73,7.73,35.75,0.36,0.72,1.07
HH00000039,美国BAD AIR SPONGE空气净化剂400g 2罐装,,209.06,21.06,64.23,0.64,1.28,1.93
HH00000040,美国魅可MAC哑光口红#CHILI 3g,,186.82,18.82,41.48,0.41,0.83,1.24
HH00000041,法国纪梵希Givenchy四宫格散粉12g #1,,442.58,44.58,85.97,0.86,1.72,2.58
HH00000042,法国纪梵希Givenchy四宫格散粉12g #2,,442.58,44.58,100.86,1.01,2.02,3.03
HH00000045,意大利Armani阿玛尼小胖丁唇釉#400,,376.97,37.97,30.49,0.3,0.61,0.91
HH00000047,澳洲澳佳宝Blackmores血糖平衡片90粒,,117.87,11.87,47.01,0.47,0.94,1.41
HH00000048,韩国PapaRecipe春雨洗面奶120ml,,75.62,7.62,16.23,0.16,0.32,0.49
HH00000049,韩国PapaRecipe春雨蜂蜜爽肤水200ml,,86.74,8.74,15.8,0.16,0.32,0.47
HH00000050,韩国PapaRecipe春雨蜂蜜乳液150ml,,86.74,8.74,15.8,0.16,0.32,0.47
HH00000051,韩国伊思its skin红参BB霜50ml,,120.1,12.1,40,0.4,0.8,1.2
HH00000056,美国雅诗兰黛Estee Lauder红石榴去黄排毒3件套,,998.58,100.58,221.98,2.22,4.44,6.66
HH00000057,台湾姬芮Za新能真皙美白防晒霜 35g,,72.28,7.28,14.01,0.14,0.28,0.42
HH00000060,澳洲澳羊倍护The Goat Skincare 麦卢卡蜂蜜山羊奶皂 100g,,32.25,3.25,4.25,0.04,0.09,0.13
